club_name,course_type,yardage,all_yardages,source_url,note
Donnington Grove Country Club,,,,https://www.donnington-grove.com/,no yardage found
Donnington Valley Golf Club,parkland,6221,6221,https://donnington.co:443/golf,
Dorking Golf Club,,,,https://www.dorkinggolfclub.co.uk,no yardage found
Downes Crediton Golf Club (Summer),parkland,5954,5954 5761 5701 5503 5415 5330,https://www.downescreditongc.co.uk/,several yardages — check which tee
Drayton Park Golf Club,parkland,,,https://www.draytonparkgolfclubabingdon.co.uk/,no yardage found
Dudley Golf Club,,5753,5753 5576 5529 5013 4841,https://www.dudleygolfclub.com/the_course_overview,several yardages — check which tee
Dukes Meadows Golf,,,,https://dukesmeadows.com/,no yardage found
Dyke Golf Club,downland,,,https://dykegolfclub.co.uk/,no yardage found
East Brighton Golf Club,downland,6346,6346,https://www.ebgc.co.uk/,
East Horton Golf Club (Greenwood),parkland,,6186,https://www.easthorton.com/golf/,"hand: cleared, the page gave one yardage for all of this club's courses"
East Horton Golf Club (Marwell),parkland,,6186,https://www.easthorton.com/golf/,"hand: cleared, the page gave one yardage for all of this club's courses"
East Horton Golf Club (Parkland),parkland,,6186,https://www.easthorton.com/golf/,"hand: cleared, the page gave one yardage for all of this club's courses"
East Sussex National (East),,,,https://book.eastsussexnational.co.uk,no yardage found
East Sussex National (West),,,,https://book.eastsussexnational.co.uk,no yardage found
Eastbourne Downs,downland,,,https://www.eastbournedownsgolf.co.uk/,no yardage found
Eaton Golf Club Norwich (1st Tee),parkland,6138,6138,https://www.eatongc.co.uk/,
Elfordleigh Hotel Golf & Country Club,parkland,,,https://www.elfordleigh.co.uk/,no yardage found
Elton Furze Golf Club,,,,https://www.efgc.co.uk/,no yardage found
Ely City Golf Club,parkland,6279,6279,https://www.elygolf.co.uk/,
Epsom Downs Golf Club,downland,5780,5780 5490 5076,https://www.epsomgolfclub.co.uk/,several yardages — check which tee
Essendon Country Club (New),,,7000 6700 6085 5654 4046,https://www.essendoncc.co.uk/new_course,"hand: cleared, the page gave one yardage for all of this club's courses"
Essendon Country Club (Old),,,7000 6700 6085 5654 4046,https://www.essendoncc.co.uk/new_course,"hand: cleared, the page gave one yardage for all of this club's courses"
Etchinghill Golf Club,downland,6101,6101 5592,https://www.etchinghillgolf.co.uk/golf/our-courses/,types seen: downland/parkland; several yardages — check which tee
Evesham Golf Course,,,,https://www.eveshamgolfclub.co.uk/,no yardage found
Exeter Golf and Country Golf Club,parkland,,,https://exetergcc.co.uk/,no yardage found
Exminster Golf Centre,,5255,5255 5112,https://www.exminstergolf.com/,several yardages — check which tee
Filton Golf Course,parkland,6193,6193,https://www.filtongolfclub.co.uk/,
Finchley Golf Course,parkland,6302,6302 5978 5691 5554,https://www.finchleygolfclub.com/,several yardages — check which tee
Five Lakes (Lakes),,6734,6734 6267 5725,https://www.fivelakesgolfclub.co.uk/,several yardages — check which tee
Forest Hills Golf Club,parkland,6432,6432,https://foresthillsgolfclub.co.uk/,
Fulwell Golf Club,,6607,6607 6470 6145 5855 5531 4295,https://www.fulwellgolfclub.co.uk/,several yardages — check which tee
Garon Park Golf Complex,,,,https://www.garonparkgolf.co.uk,no yardage found
Gatton Manor Golf Course,woodland,6600,6600,https://gattonmanor.co.uk/golf/,
