club_name,platform,base_url,course_id,postcode,latitude,longitude
Selsey Golf Club,intelligent_golf,https://selsey.intelligentgolf.co.uk/visitorbooking,1,PO20 9DR,50.745615,-0.796206
Singing Hills Golf Course (Lake/River),intelligent_golf,https://www.singinghillsgolfcourse.co.uk/visitorbooking,1,BN6 9EB,50.920715,-0.208726
Singing Hills Golf Course (Lake/Valley),intelligent_golf,https://www.singinghillsgolfcourse.co.uk/visitorbooking,2,BN6 9EB,50.920715,-0.208726
Singing Hills Golf Course (River/Valley),intelligent_golf,https://www.singinghillsgolfcourse.co.uk/visitorbooking,3,BN6 9EB,50.920715,-0.208726
Singing Hills Golf Course (River/Lake),intelligent_golf,https://www.singinghillsgolfcourse.co.uk/visitorbooking,4,BN6 9EB,50.920715,-0.208726
Singing Hills Golf Course (Valley/River),intelligent_golf,https://www.singinghillsgolfcourse.co.uk/visitorbooking,5,BN6 9EB,50.920715,-0.208726
Singing Hills Golf Course (Valley/Lake),intelligent_golf,https://www.singinghillsgolfcourse.co.uk/visitorbooking,6,BN6 9EB,50.920715,-0.208726
Holtye Golf Club,intelligent_golf,https://www.holtye.com/visitorbooking,1,TN8 7ED,51.131634,0.082708
Lewes Golf Club,brs,https://visitors.brsgolf.com/lewes,1,BN7 2BB,50.874071,0.020618
Lindfield Golf Course,brs,https://visitors.brsgolf.com/lindfield,1,RH16 2QN,51.014102,-0.054111
Lydd Golf Club,brs,https://visitors.brsgolf.com/lydd,1,TN29 9LS,50.968484,0.923197
Mercure Hythe Imperial Golf Course,brs,https://visitors.brsgolf.com/hythe,1,CT21 6AE,51.068196,1.094860
Peacehaven Golf Course,brs,https://visitors.brsgolf.com/peacehaven9,1,BN9 9UH,50.789883,0.030933
Pyecombe Golf Course,brs,https://visitors.brsgolf.com/pyecombe,1,BN45 7FF,50.901959,-0.159882
Seaford Head Golf Club,brs,https://visitors.brsgolf.com/seafordhead,1,BN25 4JS,50.765807,0.112411
Walmer and Kingsdown Golf Links,brs,https://visitors.brsgolf.com/walmerandkingsdown,1,CT14 8EP,51.178728,1.403298
Westgate and Birchington Golf Club,brs,https://visitors.brsgolf.com/westgatebirchington,1,CT8 8LT,51.378688,1.331145
Cuckfield Golf Centre,intelligent_golf,https://cuckfield.intelligentgolf.co.uk/visitorbooking,2,RH17 5HY,51.017213,-0.157262
Tilgate Forest Golf Centre,intelligent_golf,https://tilgateforest.intelligentgolf.co.uk/visitorbooking,779,RH10 5EU,51.100601,-0.179887
Rookwood Golf Course,intelligent_golf,https://rookwood.intelligentgolf.co.uk/visitorbooking,1,RH12 3RR,51.078661,-0.344669
Slinfold Golf & Country Club (Slinfold Main),intelligent_golf,https://www.slinfoldclub.co.uk/visitorbooking,22,RH13 0RE,51.061590,-0.422556
Slinfold Golf & Country Club (The Academy),intelligent_golf,https://www.slinfoldclub.co.uk/visitorbooking,145,RH13 0RE,51.061590,-0.422556
Cherry Lodge Golf Club,brs,https://visitors.brsgolf.com/cherrylodge,1,TN16 3AX,51.314861,0.052324
Leeds Castle Golf Course,brs,https://visitors.brsgolf.com/leedscastle,1,ME17 1PL,51.249028,0.630469
St Augustine's Golf Club,brs,https://visitors.brsgolf.com/staugustines,1,CT12 5JN,51.328264,1.355670
Sedlescombe Golf Club,esp,https://www.e-s-p.com/elitelive,1202,TN33 0SG,50.916377,0.537488
Darenth Valley Golf Course,esp,https://www.e-s-p.com/elitelive,844,TN14 7SA,51.331431,0.187602
Ashford Golf Club,clubv1,https://ashfordkent.hub.clubv1.com,8362,TN25 4NT,51.171793,0.856414
Tenterden Golf Club,clubv1,https://tenterden.hub.clubv1.com,1926,TN30 7DR,51.074535,0.707977
Bexleyheath Golf Club,clubv1,https://bexleyheath.hub.clubv1.com,2757,DA6 8JS,51.452139,0.129389
Nevill Golf Club,intelligent_golf,https://www.nevillgolfclub.co.uk/visitorbooking,11,TN2 5JW,51.115467,0.279763
Cottesmore Golf Club,esp,https://www.e-s-p.com/elitelive,143,RH11 9AT,51.085854,-0.223245
Broome Park Golf Club,brs,https://visitors.brsgolf.com/broomepark,1,CT4 6QX,51.189959,1.177073
Horsham Golf Club,intelligent_golf,https://horsham.intelligentgolf.co.uk/visitorbooking,1,RH13 0AX,51.047085,-0.336922
Royal St Georges,,,,,,
Littlestone,,,,,,
